Time,CPU usage (%),Mem usage (MB), VM usage (MB)
2017/3/30 18:57:46,15,148.18,152.15
2017/3/30 18:58:02,13,144.55,152.22
2017/3/30 18:58:18,16,144.67,152.3
2017/3/30 18:58:35,13,142.67,150.52
2017/3/30 18:58:51,16,148.64,152.48
2017/3/30 18:59:08,16,139.46,152.53
2017/3/30 18:59:24,18,145.14,152.9
2017/3/30 18:59:41,14,143.29,152.73
2017/3/30 18:59:57,14,145.08,152.95
2017/3/30 19:00:14,14,149.43,152.96
2017/3/30 19:00:32,15,149.86,153.33
2017/3/30 19:00:49,15,145.58,153.31
2017/3/30 19:01:04,15,149.94,153.34
2017/3/30 19:01:21,15,149.37,152.87
2017/3/30 19:01:38,15,149.64,153.36
2017/3/30 19:01:56,19,146.32,153.86
2017/3/30 19:02:13,16,146.01,153.81
2017/3/30 19:02:29,15,150.39,153.88
2017/3/30 19:02:45,16,150.41,153.88
2017/3/30 19:03:02,17,146.19,153.93
2017/3/30 19:03:18,15,146.52,153.94
2017/3/30 19:03:35,17,150.64,153.98
2017/3/30 19:03:51,14,146.46,154.11
2017/3/30 19:04:07,11,150.98,154.31
2017/3/30 19:04:24,16,147.23,154.55
2017/3/30 19:04:40,16,151.16,154.78
2017/3/30 19:04:57,16,147.57,154.83
2017/3/30 19:05:13,16,147.51,155.02
2017/3/30 19:05:30,12,151.86,154.99
2017/3/30 19:05:46,14,152,155.05
2017/3/30 19:06:03,13,147.71,155.05
2017/3/30 19:06:21,17,146.29,154.63
2017/3/30 19:06:37,12,150.11,155.24
2017/3/30 19:06:54,13,136.62,155.45
2017/3/30 19:07:10,16,150.77,155.64
2017/3/30 19:07:27,13,150.92,155.67
2017/3/30 19:07:43,13,151.5,155.8
2017/3/30 19:07:59,18,147.64,155.87
2017/3/30 19:08:16,12,147.48,155.98
2017/3/30 19:08:35,16,148.01,156.17
2017/3/30 19:08:53,15,147.79,156.24
2017/3/30 19:09:09,14,152.25,156.38
2017/3/30 19:09:26,14,152.11,156.25
2017/3/30 19:09:42,14,151.94,156.33
2017/3/30 19:09:58,15,152.51,156.61
2017/3/30 19:10:16,16,148.55,156.58
2017/3/30 19:10:34,12,152.26,156.58
2017/3/30 19:10:50,17,148.71,156.73
2017/3/30 19:11:08,14,154.91,159.2
2017/3/30 19:11:25,16,152.87,157.02
2017/3/30 19:11:41,6,153.25,157.41
2017/3/30 19:12:00,10,148.97,157.38
2017/3/30 19:12:18,16,153.29,157.38
2017/3/30 19:12:36,12,149.41,157.42
2017/3/30 19:12:53,12,149.12,157.41
2017/3/30 19:13:10,16,149.56,157.5
2017/3/30 19:13:28,17,153.73,157.89
2017/3/30 19:13:44,14,154.02,157.92
2017/3/30 19:14:00,12,154.01,157.88
2017/3/30 19:14:17,15,149.72,157.87
2017/3/30 19:14:34,14,154.03,157.87
2017/3/30 19:14:51,12,150.07,157.92
2017/3/30 19:15:08,14,149.77,157.91
2017/3/30 19:15:24,12,150.26,158.09
2017/3/30 19:15:41,14,153.84,158.02
2017/3/30 19:15:59,17,150.31,158.15
2017/3/30 19:16:16,19,152.36,156.26
2017/3/30 19:16:33,17,153.87,158.13
2017/3/30 19:16:51,16,150.51,158.67
2017/3/30 19:17:08,18,154.71,158.75
2017/3/30 19:17:23,17,154.57,158.87
2017/3/30 19:17:40,15,150.88,158.85
2017/3/30 19:17:57,16,154.59,158.85
2017/3/30 19:18:13,14,152.3,156.5
2017/3/30 19:18:30,14,153.96,159.02
2017/3/30 19:18:46,16,153.75,158.98
2017/3/30 19:19:02,14,154.48,159.11
2017/3/30 19:19:19,14,150.96,159.07
2017/3/30 19:19:37,17,150.99,159.28
2017/3/30 19:19:53,13,158.04,162.04
2017/3/30 19:20:10,16,151.55,159.79
2017/3/30 19:20:27,11,155.87,159.79
2017/3/30 19:20:45,14,151.91,159.79
2017/3/30 19:21:02,14,151.62,159.81
2017/3/30 19:21:20,12,151.96,159.77
2017/3/30 19:21:36,14,155.9,159.67
2017/3/30 19:21:53,15,151.76,159.8
2017/3/30 19:22:11,14,156.2,159.92
2017/3/30 19:22:28,10,152.07,160.09
2017/3/30 19:22:47,14,152.37,160.06
2017/3/30 19:23:05,16,152.47,160.08
2017/3/30 19:23:23,16,158.76,160.03
2017/3/30 19:23:39,14,159.43,160.03
2017/3/30 19:23:55,14,155.16,160.06
2017/3/30 19:24:11,14,155.53,160.07
2017/3/30 19:24:28,18,155.53,160.06
2017/3/30 19:24:45,15,159.26,160.07
2017/3/30 19:25:02,18,155.51,160.04
2017/3/30 19:25:20,13,159.68,160.15
2017/3/30 19:25:37,18,155.36,160.11
2017/3/30 19:25:55,17,155.67,160.11
2017/3/30 19:26:12,15,155.38,160.12
2017/3/30 19:26:29,14,159.72,160.16
2017/3/30 19:26:45,13,159.26,160.02
2017/3/30 19:27:01,14,155.87,160.81
2017/3/30 19:27:17,14,156.22,160.83
2017/3/30 19:27:34,17,155.94,160.83
2017/3/30 19:27:51,13,160.25,160.83
2017/3/30 19:28:10,17,156.28,160.84
2017/3/30 19:28:28,17,160.25,161.59
2017/3/30 19:28:44,14,159.7,161.77
2017/3/30 19:29:01,14,155.62,161.23
2017/3/30 19:29:17,16,155.35,161.24
2017/3/30 19:29:33,17,155.73,161.22
2017/3/30 19:29:50,14,155.44,161.24
2017/3/30 19:30:09,16,159.78,161.25
2017/3/30 19:30:25,13,149.12,158.98
2017/3/30 19:30:41,14,159.07,161.43
2017/3/30 19:30:58,13,160.54,161.79
2017/3/30 19:31:14,13,160.44,161.95
2017/3/30 19:31:31,15,160.91,161.93
2017/3/30 19:31:47,16,160.97,161.96
2017/3/30 19:32:04,14,157.04,162.33
2017/3/30 19:32:22,16,161.59,162.42
2017/3/30 19:32:39,15,161.76,162.58
2017/3/30 19:32:57,18,161.81,162.76
2017/3/30 19:33:14,10,162.37,162.99
2017/3/30 19:33:33,15,158.23,163.15
2017/3/30 19:33:50,16,162.71,163.3
2017/3/30 19:34:07,13,162.95,163.55
2017/3/30 19:34:23,13,162.74,163.62
2017/3/30 19:34:40,17,163.27,163.79
2017/3/30 19:34:58,14,159.16,163.98
